date;campaign_id;campaign_name;campaign_type;adgroup_id;adgroup_name;keywords;product;impressions;clicks;spend;cpc;cpm;ctr;conversions;revenue;roas;quality_score;view_rate;avg_position
2024-02-01;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2691;120;36,36;0,30;13,51;4,462;6;582,00;16,01;6;;2,20
2024-02-02;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3390;162;28,91;0,18;8,53;4,799;7;679,00;23,49;10;;2,10
2024-02-03;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3145;140;30,80;0,22;9,79;4,455;5;485,00;15,75;10;;1,90
2024-02-04;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3616;143;40,30;0,28;11,15;3,968;6;582,00;14,44;9;;2,20
2024-02-05;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3511;160;33,67;0,21;9,59;4,578;7;679,00;20,17;10;;1,40
2024-02-06;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2978;130;24,22;0,19;8,13;4,385;6;582,00;24,03;7;;1,50
2024-02-07;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3580;167;34,14;0,20;9,54;4,691;6;582,00;17,05;8;;2,10
2024-02-08;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3207;140;34,55;0,25;10,77;4,388;6;582,00;16,85;8;;2,10
2024-02-09;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3077;123;36,66;0,30;11,91;4,015;5;485,00;13,23;6;;1,80
2024-02-10;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2591;119;35,21;0,30;13,59;4,621;5;485,00;13,77;8;;2,10
2024-02-11;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3293;139;33,78;0,24;10,26;4,233;5;485,00;14,36;6;;1,70
