date;campaign_id;campaign_name;campaign_objective;adset_id;adset_name;ad_id;ad_name;ad_format;creative_type;platform;impressions;clicks;spend;cpc;cpm;ctr;conversions;leads;revenue;roas;reach;frequency;video_views
2024-02-01;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3568;67;19,30;0,29;5,41;1,902;2;0;194,00;10,05;2734;1,62;950
2024-02-02;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;3758;71;18,32;0,26;4,87;1,893;2;0;194,00;10,59;2878;1,35;1211
2024-02-03;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5294;87;18,65;0,21;3,52;1,651;3;0;291,00;15,60;3856;1,31;1534
2024-02-04;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;3892;63;20,97;0,33;5,39;1,638;2;0;194,00;9,25;3149;1,16;1200
2024-02-05;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5421;91;19,37;0,21;3,57;1,682;2;0;194,00;10,02;4423;1,16;1579
2024-02-06;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4787;89;19,09;0,21;3,99;1,874;3;0;291,00;15,24;3684;1,50;1322
2024-02-07;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4022;74;23,58;0,32;5,86;1,860;2;0;194,00;8,23;2820;1,50;1071
2024-02-08;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;3678;72;21,15;0,29;5,75;1,963;2;0;194,00;9,17;3013;1,49;1141
2024-02-09;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;3755;71;18,46;0,26;4,92;1,907;2;0;194,00;10,51;2626;1,45;1261
2024-02-10;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3716;68;19,98;0,29;5,38;1,855;2;0;194,00;9,71;2709;1,36;1140
2024-02-11;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4535;85;24,15;0,28;5,33;1,878;2;0;194,00;8,03;3620;1,62;1308
2024-02-12;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3278;62;20,02;0,32;6,11;1,895;2;0;194,00;9,69;2677;1,55;935
2024-02-13;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4563;82;21,97;0,27;4,81;1,817;3;0;291,00;13,25;3503;1,42;1365
2024-02-14;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4379;73;19,47;0,27;4,45;1,687;2;0;194,00;9,96;2957;1,44;1309
2024-02-15;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4884;87;16,33;0,19;3,34;1,789;3;0;291,00;17,82;4071;1,27;1616
2024-02-16;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5554;104;20,71;0,20;3,73;1,874;3;0;291,00;14,05;3786;1,62;1556
2024-02-17;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4722;76;19,73;0,26;4,18;1,615;2;0;194,00;9,83;3847;1,25;1270
2024-02-18;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4741;94;18,80;0,20;3,96;1,988;3;0;291,00;15,48;3818;1,38;1316
2024-02-19;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3956;75;17,92;0,24;4,53;1,899;2;0;194,00;10,83;2654;1,67;1251
2024-02-20;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3790;62;21,63;0,35;5,71;1,645;1;0;97,00;4,48;2803;1,38;1235
2024-02-21;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4194;83;21,87;0,26;5,22;2,003;3;0;291,00;13,31;3074;1,60;1252
2024-02-22;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5404;94;19,15;0,20;3,54;1,753;3;0;291,00;15,20;3978;1,56;1799
2024-02-23;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5548;94;20,52;0,22;3,70;1,712;3;0;291,00;14,18;4408;1,44;1487
2024-02-24;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5606;112;20,60;0,18;3,67;1,999;3;0;291,00;14,13;4381;1,22;1574
2024-02-25;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5051;93;20,45;0,22;4,05;1,852;3;0;291,00;14,23;4183;1,45;1407
2024-02-26;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4181;71;21,90;0,31;5,24;1,714;2;0;194,00;8,86;2766;1,54;1290
2024-02-27;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3892;63;20,33;0,32;5,22;1,641;2;0;194,00;9,54;2827;1,16;1071
2024-02-28;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5553;103;24,13;0,23;4,35;1,867;2;0;194,00;8,04;4596;1,58;1507
2024-02-29;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4924;81;23,08;0,28;4,69;1,651;2;0;194,00;8,41;3430;1,24;1524
2024-03-01;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;10733;174;46,29;0,27;4,31;1,624;9;0;873,00;18,86;7728;1,27;2934
2024-03-02;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;9975;182;54,12;0,30;5,43;1,826;8;0;776,00;14,34;7563;1,65;3232
2024-03-03;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;8629;170;46,41;0,27;5,38;1,972;10;0;970,00;20,90;6021;1,60;2433
2024-03-04;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;12713;235;44,10;0,19;3,47;1,852;11;0;1067,00;24,20;10624;1,64;4098
